BiddingZone,Price,NetPosition,Region
AT,74.0444597791798,799.356624251497,Core
BE,64.9667507886435,-1803.08500499002,Core
BG,94.7487407991588,-197.328143712575,SEE
CZ,77.6710226077813,620.775224550898,Core
DE_LU,74.2806558885384,-2908.07458832335,Core
DK1,67.8596161934805,95.3547941767068,Nordic
DK2,68.054776550999,-474.718498995984,Nordic
EE,87.735282597266,-333.824650698603,Baltic
ES,55.6871293375394,814.269486027944,SWE
FI,46.1463972134595,-547.502502502502,Nordic
FR,51.7649369085173,6204.52904191617,Core
GR,95.3649710830705,93.5676372255489,SEE
HR,87.5889103575184,-756.175224550898,Core
HU,92.7312894321767,-1371.75853293413,Core
IT-CNORTH,105.286759989485,-1009.0286935241,Italy
IT-CSOUTH,105.75945320715,-2578.02307730924,Italy
IT-Calabria,105.437310725552,755.44577811245,Italy
IT-NORTH,102.994316508938,-4162.69541290161,Italy
IT-SOUTH,105.19957150368,1088.77367971888,Italy
IT-Sardinia,101.651911146162,427.692287901606,Italy
IT-Sicily,108.93990404837,-446.585252259036,Italy
LT,87.2956913774974,-663.328979540918,Baltic
LV,87.3095439011567,-128.299176646707,Baltic
NL,72.6662315983176,327.547866766467,Core
NO1,39.9139458464774,-1323.00825825826,Nordic
NO2,48.1535304942166,1959.38918172691,Nordic
NO3,29.6314024710831,-603.652777777778,Nordic
NO4,25.6945557308097,425.226351351351,Nordic
NO5,40.1059897476341,1647.4796046046,Nordic
PL,93.8552392218717,-391.671818862275,Core
PT,56.1290615141956,-1159.22407684631,SWE
RO,95.7961382754995,14.2833083832335,Core
SE1,26.5588196635121,1486.10998498498,Nordic
SE2,26.4652865404837,4194.70708208208,Nordic
SE3,33.1427076761304,-1328.15906854706,Nordic
SE4,47.8871569400631,-1364.33684738956,Nordic
SI,84.3918493690852,-16.1821107784431,Core
SK,84.6911106729758,236.708046407186,Core
GB,NA,NA,NA
IE_SEM,NA,NA,NA
CH,NA,NA,NA
GB-NIR,NA,NA,NA
RS,NA,NA,NA
ME,NA,NA,NA
MK,NA,NA,NA
XK,NA,NA,NA
AL,NA,NA,NA
BA,NA,NA,NA
